,project_recipe,project_name,glass_bottle,other_plastic,drink_can,project_img,paper_cup,plastic_bottle_cap,disposable_plastic_cup,plastic_film,broken_glass,other_plastic_wrapper,styrofoam,plastic_bottle,metal_bottle_cap,pop_tab,carton,plastic_straw,plastic_lid,aluminium_foil,single_use_carrier_bag,normal_paper,project_materials,Document ID
10,"1.Cut the middle of the bottle and form into as desired. If you want to make a cat Flower pot, form the bottle into ear of a cat just like the picture.
2.Paint every sides of the bottle and paint your bottle as desired, you can paint a cat, panda, or even a rat based on your creativity. You could also paint it like the picture.
3.Make a hole in the bottom of the pot.
4.Congrats!!! Your pot vase is ready to use.
",Flower pot from Plastic Bottle,0,0,0,https://storage.googleapis.com/diy-image-bucket/Flower%20pot%20from%20Plastic%20Bottle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1.Plastic Bottle
2.Marker
3.Scissor
4.Acrylic Paint
5.Paintbrush",Ols8xRwNl7CKauUkPoZV
11,"1.Make paper rolls, the number of rolls will depend on the size of the frame to be made.
2.Glue the ends of the paper rolls to keep them from opening.
3.Cut the cardboard to the desired size of the frame.
4.Add a piece of colored paper in the center of the frame as the main area to hold the photo.
5.Arrange the paper rolls to form a frame around the cardboard.
6.Attach them one by one using the hot glue gun.
7.Arrange the rolls overlapping for a more creative design.
8.Add extra decorations such as stickers or beads around the frame.
9.Attach string or wire at the back to hang the frame.
10.Check that all parts are securely attached.
11.Make sure the glue is fully dry before use.",Decorative Photo Frame,0,0,0,https://storage.googleapis.com/diy-image-bucket/Decorative%20Photo%20Frame,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"1.Used paper (plain or colored)
2.Thin cardboard
3.Scissors or cutter
4.Hot glue gun or paper glue
5.Additional decorations (such as stickers, beads)
6.String or wire",QcAZ6wCOXaVb2AfIYtdM
12,"1.Paint the carton and let it dry.
2.Dilute the glue with water and put a thin layer of it on the cartons and the book cover.
3.Before the glue dries up, use the coloured paper randomly on the cartons for a colourful effect. You can even overlap one over another.
4.Make a hole on the top and another on the side of the carton to make the door.
5.Just below the door, cut a small shape and insert a plastic spoon in it to put bird seeds.
6.Now stick the soft book cover on top of the carton to make a roof.
7.Make two tiny slits on the roof and put the wool through this to hang the birdhouse.
",Bird House from Cardboard,0,1,0,https://storage.googleapis.com/diy-image-bucket/Bird%20House%20from%20Cardboard,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1.Cardboard (Milk or juice carton)
2.Paint
3.Glue
4.Plastic spoon
5.Coloured paper
6.Cutter
7.Wool",RVGHXGLgnDsPpyD0FXDy
13,1.Lay out the boxes and paper rolls to create the compartments for your organizer. ,DIY Desk Organizer,0,0,0,https://storage.googleapis.com/diy-image-bucket/DIY%20Desk%20Organizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.Craft knife
2.Paintbrush(es)
3.Pen or pencil
4.Ruler 
5.Cereal boxes
6.Toilet paper rolls
7.Wood plaque(s)
8.Mod Podge Satin
9.Acrylic paint colors of your choice
10.Scrapbook paper
11.Ribbon in coordinating colors
12.Craft glue
13.Tape
",ZdytpWOE4GmKrFxMOTQM
14,1.Clean your light plate covers with rubbing alcohol. Set the screws aside.,Decorative Lightswitch Covers,0,0,0,https://storage.googleapis.com/diy-image-bucket/Decorative%20Light%20Switch%20Covers%20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1.Light plate & outlet covers
2.Mod Podge Matte
3.Fabric
4.Wood clothespins
5.Wax paper
6.Rubbing alcohol
7.Sharp scissors 
8.Foam brush(es)
9.Brayer
10.Water-soluble pen
",Zs8gq0S2oCB9DZWEhk7K
15,"1.Clean the plastic cup if there are any sticker or label residues.
2.Create decorative shapes as desired (for example, when making a rabbit decoration, make ears, cheeks, mouth, and eyes using cardboard. Create as per personal creativity and desire).
3.Arrange the completed decorations onto the plastic cup.
4.Attach using the hot glue gun.
5.Allow the glue to dry before use.",Decorative Pencill / Pen Holder,0,0,0,https://storage.googleapis.com/diy-image-bucket/Decorative%20Pencill%20or%20Pen%20Holder,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"1.Plastic cup (plain white is better) / or preferred color
2.Cardboard/origami paper
3.Hot glue gun / multipurpose glue
4.Pencil",einKOqQBHP7mT3WTq6wr
16,"1.Cut 3 plastic bottles in half (keep the lower half)
2.Line the 3 cutted plastic bottles and poke a hole in the side of where each plastic bottle meets
3.Tie the three plastic bottles using a rope on the poked hole
4.Use a tape to wrap around the three plastic bottles
5.Attach ice cream sticks to entirely cover exterior
6.Wrap two ropes to properly secure the pots
7.Make two holes on each end and thread plastic string through to create a hanging planter.
",Hanging Pot for Plants,0,1,0,https://storage.googleapis.com/diy-image-bucket/Hanging%20Pot%20for%20Plants,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"1.Plastic Bottle
2.Cardboard 
",hoagm5uHet399vv1VoxF
17,"1.Cut a square hole using a scissor in the middle of a plastic bottle (you can draw a square first for easier cutting)
2.Using the tip of a scissor, cut 4 small holes on the opposite side of the square hole for the wheels
3.Insert two wooden sticks into the holes and glue 4 plastic bottle caps to the end of each sticks.
4.You can decorate the plastic car by painting it or by using ice cream sticks
",Plastic Car,0,0,0,https://storage.googleapis.com/diy-image-bucket/Plastic%20Car,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1.Plastic Bottle
2.Scissor
3.4 Bottle caps
",lXOxw0P3xObhOsdHjCF8
18,"1.Cut the cardboard with scissor until it makes a cross (look at the picture).
2.Make a hole in every side of the cardboard with nail.
3.After that, form the cardboard until it looks like the picture (point 1).
4.Then, Tie the rope at every side of the cardboard that has hole in it .
5. Make a hole at the top of the box so we can insert pennies or maybe a paper money. Do not make it too large or too small.
6. Congrats!!! Your own Moneybox from cardboard is ready to use.
",Moneybox from Cardboard,0,0,0,https://storage.googleapis.com/diy-image-bucket/Moneybox%20from%20cardboard,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"1.Cardboard
2.Nail
3.Rope
4.Scissor",ou9KpbCj377TMQAfVDEj
19,"1.Cut the top part of the plastic bottle (the neck) so that only the bottom part remains.
2.Clean the bottle to remove labels and residue.
3.Cut off the handles of the spoons, leaving only the concave part (the spoon's head).
4.Repeat for all the plastic spoons to be used.
5.Attach the spoons to the bottom of the bottle with the concave side facing outward.
6.Use the hot glue gun to attach them.
7.Attach them in a circular, layer-by-layer manner until the bottle is fully covered.
8.Ensure each new spoon layer covers the gaps of the previous one (forming a petal-like pattern).
9.Place a small light inside the bottle that has been covered with spoons.
10.Check that all parts are securely attached.",Decorative Light from Plastic Spoons,0,0,0,https://storage.googleapis.com/diy-image-bucket/Decorative%20Light%20from%20Plastic%20Spoons,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1.Used plastic spoons (white or preferred color)
2.Used plastic bottle
3.Hot glue gun
4.Small light
5.Scissors or cutter",ra1VrGR8cDCWV9qVKHKl
20,"1.Paint the popsicle sticks on both sides.
2.Stick them in such a way that they form a square shape, with the ends jutting out on the four sides.
3.Cut a white paper a little larger than the size. Glue the popsicle sticks square to the white paper.
4.Your frame is ready for a photograph or even a handmade drawing or painting!
",Stick photo frame,0,0,0,https://storage.googleapis.com/diy-image-bucket/Stick%20photo%20frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1.Popsicle sticks
2.Scissors
3.Glue
4.Paint
5.Crayons
6.Whitepaper",urhxHsjq7CSLBp2l1xhs
21,"1.Get a flat cardboard sheet
2.Draw the maze layout using a marker
3.Cut 4 strips of cardboard and glue them to form walls on each edge of the flat cardboard sheet
4.Glue plastic straws or cardboard strips along the drawn maze layout
5.Use a small marble as the game piece
6.Tilt the board around to navigate around the maze",Cardboard Maze,0,0,0,https://storage.googleapis.com/diy-image-bucket/Cardboard%20Maze,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1.Cardboard
2.Scissor
",zjMHpmzubD8MoDATznQ9
